energia_prestep_MeV,count_in_bin,sum_edep_bin_MeV,edep_media_por_entrada_MeV
5.267499999999999405e-01,9.200000000000000000e+01,3.023377895355225053e+00,3.286280321038288071e-02
5.302499999999998881e-01,9.700000000000000000e+01,2.983907222747803178e+00,3.076193013142065197e-02
5.337499999999999467e-01,1.190000000000000000e+02,3.516983270645142046e+00,2.955448126592556332e-02
5.372500000000000053e-01,1.050000000000000000e+02,3.039552450180054155e+00,2.894811857314337142e-02
5.407499999999999529e-01,9.400000000000000000e+01,2.221725940704346147e+00,2.363538234791857581e-02
5.442499999999999005e-01,9.400000000000000000e+01,2.826017141342163086e+00,3.006401214193790347e-02
5.477499999999999591e-01,9.900000000000000000e+01,2.247663497924805132e+00,2.270367169621015369e-02
5.512500000000000178e-01,1.190000000000000000e+02,4.588404178619384766e+00,3.855801830772592059e-02
5.547499999999999654e-01,9.700000000000000000e+01,1.834230065345763938e+00,1.890958830253364892e-02
5.582499999999999130e-01,9.800000000000000000e+01,2.345363855361938032e+00,2.393228423838712413e-02
5.617499999999999716e-01,8.200000000000000000e+01,1.277735948562622070e+00,1.558214571417831755e-02
5.652499999999999192e-01,1.090000000000000000e+02,3.379721641540526900e+00,3.100662056459198984e-02
5.687499999999998668e-01,1.120000000000000000e+02,2.465956211090087891e+00,2.201746617044721480e-02
5.722499999999999254e-01,9.500000000000000000e+01,1.965461015701293945e+00,2.068906332317151445e-02
5.757499999999999840e-01,1.090000000000000000e+02,2.565768718719481978e+00,2.353916255705946689e-02
5.792499999999999316e-01,9.000000000000000000e+01,2.295850276947021040e+00,2.550944752163356727e-02
5.827499999999998792e-01,1.110000000000000000e+02,1.801006913185120073e+00,1.622528750617225138e-02
5.862499999999999378e-01,1.000000000000000000e+02,2.721080064773560014e+00,2.721080064773560153e-02
5.897499999999999964e-01,9.500000000000000000e+01,2.408861160278319868e+00,2.535643326608757672e-02
5.932499999999999440e-01,1.020000000000000000e+02,2.758876085281372070e+00,2.704780475766050893e-02
5.967499999999998916e-01,1.200000000000000000e+02,3.020457983016968218e+00,2.517048319180806987e-02
6.002499999999999503e-01,1.180000000000000000e+02,2.785431146621704102e+00,2.360534870018393336e-02
6.037500000000000089e-01,9.500000000000000000e+01,1.847990155220031960e+00,1.945252794968454699e-02
6.072499999999999565e-01,6.800000000000000000e+01,1.812274694442749023e+00,2.665109844768748584e-02
6.107499999999999041e-01,3.494000000000000000e+03,6.950864868164062500e+02,1.989371742462525128e-01
6.142499999999999627e-01,6.100000000000000000e+01,2.413184642791748047e-01,3.956040398019259122e-03
6.177499999999999103e-01,5.000000000000000000e+01,2.089986950159072876e-01,4.179973900318145578e-03
6.212499999999998579e-01,1.260000000000000000e+02,1.433413410186767933e+01,1.137629690624419043e-01
6.247499999999999165e-01,4.100000000000000000e+01,1.545383781194686890e-01,3.769228734621187567e-03
6.282499999999999751e-01,4.300000000000000000e+01,3.373822271823883057e-01,7.846098306567170222e-03
6.317499999999999227e-01,5.200000000000000000e+01,4.386489987373352051e-01,8.435557668025676220e-03
6.352499999999998703e-01,4.100000000000000000e+01,3.195072710514069159e-01,7.792860269546510524e-03
6.387499999999999289e-01,4.600000000000000000e+01,5.505365729331970215e-01,1.196818636811297805e-02
6.422499999999999876e-01,4.400000000000000000e+01,3.777599334716796875e-01,8.585453033447265625e-03
6.457499999999999352e-01,5.100000000000000000e+01,1.584522426128386896e-01,3.106906717898797691e-03
6.492499999999998828e-01,4.400000000000000000e+01,2.730160653591156006e-01,6.204910576343536377e-03
6.527499999999999414e-01,6.370000000000000000e+02,1.213893203735351989e+02,1.905640822190505512e-01
6.562500000000000000e-01,8.400000000000000000e+01,8.117502212524414062e+00,9.663693110148112442e-02
6.597499999999999476e-01,1.630000000000000000e+02,2.701222038269042969e+01,1.657191434520885187e-01
6.632499999999998952e-01,4.495400000000000000e+04,6.958016967773437500e+01,1.547808196773020747e-03
6.667499999999999538e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.702500000000000124e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.737499999999998490e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.772499999999999076e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.807499999999999662e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.842499999999999138e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.877499999999998614e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.912499999999999201e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.947499999999999787e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.982499999999999263e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
